#,case_id,product,d_type,supplier,jira_request,required_by,received_date,m_lead_time_in_weeks,m_lead_time_in_days,item_type,next_delivery_date,d_created,updated,location,total_amount,tax_amount
1297,PO20-5033_1010813,HINGE FR SERVICE PNL,Advanced Purchase,46976edf3060ee19825ea4376a304331,,9/10/2020,12/11/2020,4,28,Manufactured Item,,2020-09-15 00:00:00.000000,2020-11-12 12:41:07.387000,UK/Banbury/Main stores,164.92,27.4866666666666667
1298,PO20-5027_1021778,LID CHARGE PORT,Advanced Purchase,46976edf3060ee19825ea4376a304331,PRCH-7169,,9/11/2020,6,42,Manufactured Item,,2020-09-15 00:00:00.000000,2020-11-09 05:35:44.567000,UK/Banbury/Main stores,734.6458333333333333,
1299,PO20-5028_1028829,BETA VAN- CHARGE PORT CONDUCTIVE PLASTIC TOUCH POINT MOULDING,Advanced Purchase,f83b4aa301dd20e57f0ce292831baa09,PRCH-7170,,21/9/2020,2,14,Manufactured Item,,2020-09-15 00:00:00.000000,2020-10-12 09:13:38.140000,UK/Banbury/Main stores,137.5833333333333333,
1300,PO20-5018_1009905,BUSBAR RR WHEEL BOX JA VAR 2,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7125,23/10/2020,30/11/2020,5,35,Purchased,,2020-09-15 00:00:00.000000,2020-11-30 09:03:44.263000,UK/Banbury/Main stores,825.932,137.6553333333333333
1301,PO20-5034_1028499,BUSBAR LWR CNTR FUSE,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7124,6/11/2020,7/12/2020,5,35,Manufactured Item,,2020-09-15 00:00:00.000000,2020-12-17 10:42:00.090000,UK/Banbury/Main stores,2037.9791666666666667,
1302,PO20-5018_1022116,INVERTER FUSED BUSBAR,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7125,23/10/2020,30/11/2020,5,35,Purchased,,2020-09-15 00:00:00.000000,2020-11-30 09:03:44.263000,UK/Banbury/Main stores,825.932,137.6553333333333333
1303,PO20-5018_1026024,BUSBAR-ESS BATTERY PACK-NEGATIVE,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7125,23/10/2020,,5,35,Purchased,23/10/2020,2020-09-15 00:00:00.000000,2020-11-30 09:03:44.263000,UK/Banbury/Main stores,825.932,137.6553333333333333
1304,PO20-5034_1028493,BUSBAR LH LWR CONTACTOR CCS,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7124,6/11/2020,7/12/2020,5,35,Manufactured Item,,2020-09-15 00:00:00.000000,2020-12-17 10:42:00.090000,UK/Banbury/Main stores,2037.9791666666666667,
1305,PO20-5034_1028712,ASSY BUSBAR UPR HVBM OVRMLDG,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7124,6/11/2020,17/12/2020,5,35,Assembly,6/11/2020,2020-09-15 00:00:00.000000,2020-12-17 10:42:00.090000,UK/Banbury/Main stores,2037.9791666666666667,
1306,PO20-5018_1028894,BUSBAR LWR CTR JA VAR 2,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7125,23/10/2020,30/11/2020,5,35,Purchased,,2020-09-15 00:00:00.000000,2020-11-30 09:03:44.263000,UK/Banbury/Main stores,825.932,137.6553333333333333
1307,PO20-5019_1035703,MULTI ANTENNA TAOGLAS MA284,Advanced Purchase,54e22cad12371d82ec8c4415f5dec461,PRCH-7121,30/11/2020,19/11/2020,12,84,Purchased,,2020-09-15 00:00:00.000000,2020-12-03 12:50:49.427000,UK/Banbury/Main stores,105.1041666666666667,
1308,PO20-5034_1028656,ASSY BUSBAR FT COLLECTOR NEG TOX,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7124,6/11/2020,25/11/2020,5,35,Assembly,,2020-09-15 00:00:00.000000,2020-12-17 10:42:00.090000,UK/Banbury/Main stores,2037.9791666666666667,
1309,PO20-5019_1036126,FM_DAB ANTENNA TAOGLAS MA2220,Advanced Purchase,54e22cad12371d82ec8c4415f5dec461,PRCH-7121,30/11/2020,3/12/2020,12,84,,,2020-09-15 00:00:00.000000,2020-12-03 12:50:49.427000,UK/Banbury/Main stores,105.1041666666666667,
1310,PO20-5018_1028895,BUSBAR LWR CTR JA VAR 1,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7125,23/10/2020,30/11/2020,5,35,Purchased,,2020-09-15 00:00:00.000000,2020-11-30 09:03:44.263000,UK/Banbury/Main stores,825.932,137.6553333333333333
1311,PO20-5018_1025459,INVERTER FUSED BUSBAR VAR 2,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7125,23/10/2020,30/11/2020,5,35,Purchased,,2020-09-15 00:00:00.000000,2020-11-30 09:03:44.263000,UK/Banbury/Main stores,825.932,137.6553333333333333
1312,PO20-5032_1035522,LV MNT CVR ASSY,Advanced Purchase,66759b6499c2e88cf66f6a16137cdfac,PRCH-7166,25/9/2020,28/9/2020,3,21,Assembly,,2020-09-15 00:00:00.000000,2020-10-02 09:38:28.193000,UK/Banbury/Main stores,803.625,
1313,PO20-5015_1032159,NLG664 connection Kit,Advanced Purchase,287187119f91ddf35b0bdf63190e109c,PRCH-7123,2/10/2020,15/10/2020,2,14,Purchased,,2020-09-15 00:00:00.000000,2020-10-15 07:54:04.467000,UK/Banbury/Main stores,348.3333333333333333,
1314,PO20-5096_1035288,CCB ELEC BRKT LH,Advanced Purchase,63e83908719278216c3a79fbb0702d09,PRCH-7273,25/9/2020,27/10/2020,0,0,Manufactured Item,,2020-09-17 00:00:00.000000,2020-11-09 08:52:14.327000,UK/Banbury/Main stores,1788.3,298.05
1315,PO20-5018_1011946,ASSY BUSBAR-ESS BATTERY PACK-NEGATIVE-HALF PACK,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7125,23/10/2020,,5,35,Purchased Assy,23/10/2020,2020-09-15 00:00:00.000000,2020-11-30 09:03:44.263000,UK/Banbury/Main stores,825.932,137.6553333333333333
1316,PO20-5018_1009105,BUSBAR RR WHEEL BOX JA VAR 1,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7125,23/10/2020,30/11/2020,5,35,Purchased,,2020-09-15 00:00:00.000000,2020-11-30 09:03:44.263000,UK/Banbury/Main stores,825.932,137.6553333333333333
1317,PO20-5032_1001487,RM_180520 LV MOUNTING COVER,Advanced Purchase,66759b6499c2e88cf66f6a16137cdfac,PRCH-7166,25/9/2020,28/9/2020,3,21,,,2020-09-15 00:00:00.000000,2020-10-02 09:38:28.193000,UK/Banbury/Main stores,803.625,
1318,PO20-5034_1028805,ASSY BUSBAR LINK LWR HVBM OVRMLDG,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7124,6/11/2020,4/12/2020,5,35,Assembly,,2020-09-15 00:00:00.000000,2020-12-17 10:42:00.090000,UK/Banbury/Main stores,2037.9791666666666667,
1319,PO20-5034_1028719,BUSBAR SPACER HVBM,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7124,6/11/2020,7/12/2020,5,35,Manufactured Item,,2020-09-15 00:00:00.000000,2020-12-17 10:42:00.090000,UK/Banbury/Main stores,2037.9791666666666667,
1320,PO20-5018_1011007,BUSBAR-ESS BATTERY PACK-POSITIVE-HALF PACK,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7125,23/10/2020,,5,35,Purchased,23/10/2020,2020-09-15 00:00:00.000000,2020-11-30 09:03:44.263000,UK/Banbury/Main stores,825.932,137.6553333333333333
1321,PO20-5018_1022114,INVERTER BUSBAR,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7125,23/10/2020,30/11/2020,5,35,Purchased,,2020-09-15 00:00:00.000000,2020-11-30 09:03:44.263000,UK/Banbury/Main stores,825.932,137.6553333333333333
1322,PO20-5034_1028504,BUSBAR RH LWR CONTACTOR CCS,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7124,6/11/2020,7/12/2020,5,35,Manufactured Item,,2020-09-15 00:00:00.000000,2020-12-17 10:42:00.090000,UK/Banbury/Main stores,2037.9791666666666667,
1323,PO20-5012_1028753,ACTUATOR SERVICE PNL,Advanced Purchase,7bea77511f7b9c7fcc5356e1f8d0937e,PRCH-7195,25/9/2020,2/10/2020,2,14,Assembly,,2020-09-15 00:00:00.000000,2020-10-02 07:33:45.500000,UK/Banbury/Main stores,23.65,3.9416666666666667
1324,PO20-5034_1028650,ASSY BUSBAR FT COLLECTOR POS TOX,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7124,6/11/2020,25/11/2020,5,35,Assembly,,2020-09-15 00:00:00.000000,2020-12-17 10:42:00.090000,UK/Banbury/Main stores,2037.9791666666666667,
1325,PO20-5027_1035204,BETA VAN - CHARGE PORT DOOR CARRIER,Advanced Purchase,46976edf3060ee19825ea4376a304331,PRCH-7169,,9/11/2020,3,21,,,2020-09-15 00:00:00.000000,2020-11-09 05:35:44.567000,UK/Banbury/Main stores,734.6458333333333333,
1326,PO20-5028_1031804,BETA VAN- CHARGE PORT TOUCH POINT CASE REAR,Advanced Purchase,f83b4aa301dd20e57f0ce292831baa09,PRCH-7170,,12/10/2020,2,14,Manufactured Item,,2020-09-15 00:00:00.000000,2020-10-12 09:13:38.140000,UK/Banbury/Main stores,137.5833333333333333,
1327,PO20-5063_8002077,CLIP-SNAP LOCK PIN 2.5X5.6,Advanced Purchase,d476dc5777e8406aba13cabad882f32a,FREE SAMPLES,16/9/2020,17/9/2020,6,42,Purchased,,2020-09-15 00:00:00.000000,2020-09-17 03:09:51.203000,UK/Banbury/Main stores,,
1328,PO20-5028_1031803,BETA VAN- CHARGE PORT TOUCH POINT CASE FRONT,Advanced Purchase,f83b4aa301dd20e57f0ce292831baa09,PRCH-7170,,12/10/2020,2,14,Manufactured Item,,2020-09-15 00:00:00.000000,2020-10-12 09:13:38.140000,UK/Banbury/Main stores,137.5833333333333333,
1329,PO20-5034_1028707,ASSY BUSBAR LINK UPR HVBM OVRMLDG,Advanced Purchase,e9dd815e615525ef511d792d24c8bbbc,PRCH-7124,6/11/2020,4/12/2020,5,35,Assembly,,2020-09-15 00:00:00.000000,2020-12-17 10:42:00.090000,UK/Banbury/Main stores,2037.9791666666666667,
